TIME,ATM,STRIKE,CE_OPEN,CE_CLOSE,CE_HIGH,CE_LOW,CE_OVERALL_HIGH,CE_OVERALL_HIGH_TIME,CE_OVERALL_LOW,CE_OVERALL_LOW_TIME,PE_OPEN,PE_CLOSE,PE_HIGH,PE_LOW,PE_OVERALL_HIGH,PE_OVERALL_HIGH_TIME,PE_OVERALL_LOW,PE_OVERALL_LOW_TIME
14:40:00,ATM+800,17900,1.0,1.0,1.05,0.95,1.5,15:30:00,0.9,15:00:00,785.95,785.95,785.95,783.6,856.45,15:15:00,735.65,14:55:00
14:40:00,ATM+850,17950,1.0,0.95,1.05,0.95,1.5,15:25:00,0.85,15:00:00,-,-,-,-,-,-,-,-
14:40:00,ATM+900,18000,0.9,0.9,0.95,0.9,1.55,15:25:00,0.75,15:05:00,884.0,884.0,887.6,879.75,955.95,15:20:00,828.95,14:50:00
14:40:00,ATM+950,18050,0.75,0.75,0.95,0.75,1.45,15:30:00,0.7,15:00:00,-,-,-,-,-,-,-,-
14:40:00,ATM+1000,18100,0.75,0.75,0.85,0.75,1.35,15:25:00,0.6,15:05:00,-,-,-,-,-,-,-,-
14:40:00,ATM+1050,18150,0.75,0.7,0.75,0.7,1.35,15:25:00,0.65,15:05:00,-,-,-,-,-,-,-,-
14:40:00,ATM+1100,18200,0.65,0.65,0.7,0.6,1.2,15:25:00,0.45,15:00:00,-,-,-,-,-,-,-,-
14:40:00,ATM+1150,18250,0.6,0.6,0.7,0.6,1.2,15:25:00,0.45,15:05:00,-,-,-,-,-,-,-,-
14:40:00,ATM+1200,18300,0.6,0.6,0.7,0.55,1.25,15:25:00,0.5,15:05:00,-,-,-,-,-,-,-,-
14:40:00,ATM+1250,18350,0.5,0.5,0.55,0.4,1.25,15:25:00,0.4,15:00:00,-,-,-,-,-,-,-,-
14:40:00,ATM+1300,18400,0.5,0.55,0.6,0.5,1.1,15:25:00,0.4,15:05:00,-,-,-,-,-,-,-,-
14:40:00,ATM+1400,18500,0.5,0.45,0.6,0.45,1.0,15:30:00,0.45,14:40:00,1390.15,1390.15,1391.15,1384.65,1460.65,15:20:00,1332.0,14:50:00
14:40:00,ATM+1500,18600,0.5,0.5,0.55,0.45,0.9,15:25:00,0.45,14:40:00,1488.3,1488.3,1490.0,1488.3,1554.85,15:20:00,1435.0,14:50:00
14:40:00,ATM+1600,18700,0.55,0.55,0.55,0.5,0.8,15:30:00,0.5,15:05:00,-,-,-,-,-,-,-,-
14:40:00,ATM+1650,18750,0.5,0.5,0.55,0.5,0.7,15:30:00,0.35,14:55:00,-,-,-,-,-,-,-,-
14:40:00,ATM+1800,18900,0.6,0.55,0.6,0.55,0.8,15:25:00,0.45,15:05:00,-,-,-,-,-,-,-,-
14:40:00,ATM+1900,19000,0.5,0.45,0.5,0.45,0.85,15:30:00,0.4,14:45:00,1885.0,1885.0,1891.15,1885.0,1955.0,15:20:00,1853.0,15:00:00
14:40:00,ATM+2100,19200,0.6,0.6,0.6,0.6,0.8,15:30:00,0.5,14:50:00,-,-,-,-,-,-,-,-
14:40:00,ATM+2350,19450,0.35,0.35,0.35,0.35,0.85,15:30:00,0.35,14:40:00,-,-,-,-,-,-,-,-
14:40:00,ATM+2400,19500,0.3,0.35,0.35,0.3,0.8,15:25:00,0.25,14:45:00,2388.45,2393.0,2393.0,2382.0,2457.5,15:20:00,2342.0,14:50:00
14:40:00,ATM+2500,19600,0.4,0.4,0.4,0.35,0.75,15:30:00,0.3,14:55:00,-,-,-,-,-,-,-,-
14:40:00,SPOT,SPOT,17115.3,17111.55,17118.7,17110.35,17165.3,14:50:00,17027.85,15:25:00,-,-,-,-,-,-,-,-
14:45:00,ATM-2000,15100,-,-,-,-,-,-,-,-,0.7,0.7,0.75,0.7,0.75,14:50:00,0.5,15:30:00
14:45:00,ATM-1950,15150,-,-,-,-,-,-,-,-,0.75,0.75,0.75,0.75,0.8,15:10:00,0.45,15:25:00
14:45:00,ATM-1850,15250,-,-,-,-,-,-,-,-,0.7,0.7,0.7,0.65,0.85,15:05:00,0.5,15:25:00
14:45:00,ATM-1800,15300,-,-,-,-,-,-,-,-,0.75,0.75,0.75,0.75,0.85,14:55:00,0.65,15:25:00
14:45:00,ATM-1700,15400,-,-,-,-,-,-,-,-,0.8,0.85,0.85,0.8,0.9,15:00:00,0.7,15:25:00
14:45:00,ATM-1600,15500,1629.65,1636.15,1636.15,1605.2,1672.2,14:50:00,1548.8,15:20:00,0.7,0.65,0.75,0.65,0.85,15:30:00,0.5,15:30:00
14:45:00,ATM-1500,15600,-,-,-,-,-,-,-,-,0.8,0.8,0.9,0.8,1.0,15:30:00,0.8,14:45:00
14:45:00,ATM-1450,15650,-,-,-,-,-,-,-,-,0.8,0.8,0.8,0.75,0.95,15:15:00,0.5,15:25:00
14:45:00,ATM-1400,15700,-,-,-,-,-,-,-,-,0.75,0.75,0.8,0.75,1.0,15:30:00,0.6,15:30:00
14:45:00,ATM-1350,15750,-,-,-,-,-,-,-,-,0.75,0.75,0.8,0.75,0.9,15:15:00,0.5,15:25:00
14:45:00,ATM-1300,15800,-,-,-,-,-,-,-,-,0.75,0.8,0.85,0.75,1.05,15:15:00,0.6,15:25:00
14:45:00,ATM-1250,15850,-,-,-,-,-,-,-,-,0.7,0.7,0.75,0.7,0.85,15:10:00,0.45,15:25:00
14:45:00,ATM-1200,15900,-,-,-,-,-,-,-,-,0.85,0.8,0.9,0.8,0.95,15:10:00,0.65,15:30:00
14:45:00,ATM-1150,15950,-,-,-,-,-,-,-,-,0.8,0.8,0.9,0.8,0.9,15:05:00,0.65,15:05:00
14:45:00,ATM-1100,16000,1123.75,1131.95,1131.95,1121.0,1169.75,14:50:00,1045.0,15:20:00,0.9,0.85,1.0,0.85,1.1,15:10:00,0.7,15:05:00
14:45:00,ATM-1050,16050,-,-,-,-,-,-,-,-,0.95,0.95,1.05,0.95,1.15,15:10:00,0.7,15:00:00
14:45:00,ATM-1000,16100,-,-,-,-,-,-,-,-,1.0,1.0,1.15,1.0,1.2,15:10:00,0.7,15:05:00
14:45:00,ATM-950,16150,-,-,-,-,-,-,-,-,1.15,1.15,1.3,1.15,1.45,15:30:00,0.95,15:05:00
14:45:00,ATM-900,16200,935.0,935.0,935.0,905.9,950.1,15:00:00,870.15,15:30:00,1.25,1.15,1.35,1.15,1.7,15:30:00,1.05,15:00:00
14:45:00,ATM-850,16250,-,-,-,-,-,-,-,-,1.35,1.3,1.6,1.25,1.75,15:30:00,1.25,14:45:00
14:45:00,ATM-800,16300,-,-,-,-,-,-,-,-,1.65,1.65,1.9,1.55,2.1,15:30:00,1.5,14:50:00
14:45:00,ATM-750,16350,-,-,-,-,-,-,-,-,1.85,1.7,2.2,1.7,2.5,15:30:00,1.6,14:50:00
14:45:00,ATM-700,16400,722.2,735.0,735.0,705.0,762.75,14:55:00,649.95,15:20:00,2.5,2.2,2.85,2.2,3.35,15:30:00,2.1,14:50:00
14:45:00,ATM-650,16450,-,-,-,-,-,-,-,-,3.0,2.65,3.5,2.6,4.0,15:30:00,2.45,14:50:00
14:45:00,ATM-600,16500,625.0,635.0,635.0,606.05,671.5,14:50:00,547.0,15:20:00,3.65,3.25,4.25,3.25,5.0,15:30:00,2.95,14:50:00
14:45:00,ATM-550,16550,-,-,-,-,-,-,-,-,4.2,3.65,4.9,3.65,6.0,15:30:00,3.3,14:50:00
